verification_service-1      | INFO:     172.18.0.1:43766 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:60016 - "GET /db/health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:48830 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:60132 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:51876 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:47164 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:40360 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:60148 - "GET /db/health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59238 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:40368 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:58416 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:39516 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:56868 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:58416 - "GET /db/health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:36016 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:35720 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:42562 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:54376 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:47240 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:35724 - "GET /db/health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:57492 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:56282 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:54662 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:40280 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:51084 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:54666 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:35112 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:56704 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:39766 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:41150 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:48322 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:35112 - "GET /db/health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:48738 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:36650 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:34250 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:39346 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:45738 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:34254 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:55046 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:58684 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:59486 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:54874 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:33152 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:55046 - "GET /db/health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:44094 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:58016 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:44940 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:59948 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:44936 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:58030 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:40164 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:56134 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:44636 - "GET /health HTTP/1.1" 200 OK
